id_num,tender_id,tender_link,legal_entity,tender_title,purchase_stage,published_date,submission_deadline,purchase_class,initial_max_price,tektorg_link
604220,2000308094,http://zakupki.rosneft.ru/node/604220,"ООО ""РН-Юганскнефтегаз""","Оказание услуг Гусеничным экскаватором, объём ковша 0,7-1,0 м3 (типа Volvo-EC-140B ,HYUNDAI R160LC-7)",Запрос оферт,25.11.2020 - 07:56,03.12.2020 - 16:00,транспортные услуги,0.00 руб.,Not specified
604228,708-04/9133,http://zakupki.rosneft.ru/node/604228,"ОАО ""Новокуйбышевский НПЗ""",Технические газы,Запрос оферт,25.11.2020 - 08:53,09.12.2020 - 22:00,поставка материально-технических ресурсов,1 835 402.84 руб. с НДС,https://www.tektorg.ru/rosneft/procedures/554691?lang=ru
604219,32009718423,http://zakupki.rosneft.ru/node/604219,"ООО ""ССК""Звезда""","Поставка мебели, согласно технического задания № 697/20-ЗП(МСП)",Запрос предложений,25.11.2020 - 07:33,11.12.2020 - 10:00,поставка материально-технических ресурсов,14357341,https://msp.roseltorg.ru/
604222,1621-20-ФХД-104,http://zakupki.rosneft.ru/node/604222,"ООО ""РН-КрасноярскНИПИнефть""",Оказание услуг связи (Доступ к сети интернет),Запрос цен,25.11.2020 - 07:59,02.12.2020 - 14:00,прочие услуги,424 080.00 руб.,Not specified
604232,604232 (1753-20_ФХД-122-1),http://zakupki.rosneft.ru/node/604232,"ООО ""ТННЦ""",Предоставление услуг местной и внутризоновой связи,Запрос цен,25.11.2020 - 09:04,03.12.2020 - 15:30,прочие услуги,1 326 974.38 руб.,
604224,617-04/9088,http://zakupki.rosneft.ru/node/604224,"ОАО ""Новокуйбышевский НПЗ""",Оцинкованная сталь ( прогнозная потребность),Запрос оферт,25.11.2020 - 08:36,09.12.2020 - 22:00,консультационные и аудиторские услуги,30 583 008.00 руб. с НДС,https://www.tektorg.ru/rosneft/procedures/554652?lang=ru
604226,2000383942,http://zakupki.rosneft.ru/node/604226,"АО ""Сызранский НПЗ""",Провод установочный,Запрос цен,25.11.2020 - 08:47,03.12.2020 - 22:59,поставка материально-технических ресурсов,Не публикуется,https://www.tektorg.ru/rosneft/procedures/554672
604177,604177,http://zakupki.rosneft.ru/node/604177,ООО ИК «СИБИНТЕК»,"Поставка расходомеров вихревых для ПАО АНК ""Башнефть"" в 2021 году",Запрос цен,24.11.2020 - 20:08,03.12.2020 - 18:00,поставка материально-технических ресурсов,Не публикуется,Not specified
604175,2000369460,http://zakupki.rosneft.ru/node/604175,"ООО ""РН-Юганскнефтегаз""",Оказание автотранспортных услуг по разрядке скважин автомашинами на автомобильномшасси 6*6 без привязки по региону,Запрос оферт,24.11.2020 - 20:07,02.12.2020 - 16:00,транспортные услуги,0.00 руб.,Not specified
604191,2000243617,http://zakupki.rosneft.ru/node/604191,"АО ""Воронежнефтепродукт""","Поставка ароматизаторов производителя ООО «БАЛЕВ» для реализации на АЗК АО ""Воронежнефтепродукт""",Запрос оферт,24.11.2020 - 21:36,03.12.2020 - 11:00,прочие услуги,957 451.20 руб.,https://www.tektorg.ru/rosneft/procedures/554473?lang=ru
604189,604189,http://zakupki.rosneft.ru/node/604189,"ООО ""СевКомНефтегаз""",Оказание услуг по отбору керна,Запрос оферт,24.11.2020 - 21:12,03.12.2020 - 16:00,сервисные работы,5 589 353.08 руб.,Not specified
604193,2000347680,http://zakupki.rosneft.ru/node/604193,"АО ""Воронежнефтепродукт""",Ремонт оргтехники и экспресс-обмен картриджей,Запрос цен,24.11.2020 - 21:36,02.12.2020 - 11:00,прочие услуги,1 699 116.20 руб.,https://www.tektorg.ru/rosneft/procedures/554474?lang=ru
604185,604185,http://zakupki.rosneft.ru/node/604185,"ООО ""РН-Сервис""","Аренда истирающе-режущего инструмента для филиала  ООО ""РН-Сервис"" в г. Уфа  на 2021.",Запрос оферт,24.11.2020 - 20:49,02.12.2020 - 08:00,прочие услуги,Не публикуется,Not specified
604181,2000369499,http://zakupki.rosneft.ru/node/604181,"ООО ""РН-Юганскнефтегаз""","Оказание услуг топливозаправщиками емкостьюне менее 7 м³, для заправки УД/БРХ, на автомобильном шасси 6*6 для Приразломного и Приобского региона",Запрос оферт,24.11.2020 - 20:39,02.12.2020 - 16:00,транспортные услуги,0.00 руб.,Not specified
